Términos esperados con mayor TF-IDF por documento (aprox):

doc1_futbol: gol, equipo, liga, partido, delantero, defensa, portero
doc2_cocina: receta, ingredientes, horno, sarten, sabor, coccion, especias
doc3_programacion: codigo, variable, funcion, algoritmo, compilar, debug, clase
doc4_viajes: vuelo, hotel, itinerario, destino, maleta, turismo, guia
doc5_salud: ejercicio, nutricion, calorias, proteina, cardio, bienestar, dieta
doc6_musica: ritmo, melodia, acorde, guitarra, piano, bateria, concierto
doc7_historia: imperio, revolucion, batalla, siglo, cultura, civilizacion, rey
doc8_finanzas: inversion, mercado, acciones, riesgo, retorno, portafolio, diversificacion
doc9_ciencia: experimento, hipotesis, laboratorio, datos, teoria, modelo, medicion
doc10_videojuegos: nivel, jugador, misiones, grafico, control, multijugador, historia

Nota: Debido al ruido (stopwords), los términos de tema deberían dominar TF-IDF.
